body_code	race_id	iteration	quota	ntv
ADHB	1	1	12496.9	0.0
ADHB	1	2	12488.0	71.0
ADHB	1	3	12483.3	109.0
ADHB	1	4	12474.9	176.0
ADHB	1	5	12463.0	271.0
ADHB	1	6	12448.0	391.0
ADHB	1	7	12431.0	527.0
ADHB	1	8	12419.0	623.0
ADHB	1	9	12395.5	811.0
ADHB	1	10	12376.3	965.0
ADHB	1	11	12362.6	1074.0
ADHB	1	12	12361.7	1081.7
ADHB	1	13	12304.6	1538.1
ADHB	1	14	12274.7	1777.5
ADHB	1	15	12272.7	1793.2
ADHB	1	16	12238.4	2067.8
ADHB	1	17	12237.1	2078.3
ADHB	1	18	12211.5	2282.8
ADHB	1	19	12207.2	2317.3
ADHB	1	20	12103.1	3150.2
ADHB	1	21	12100.4	3171.7
ADHB	1	22	12008.0	3910.6
ADHB	1	23	12004.3	3940.8
ADHB	1	24	11932.4	4515.5
ADHB	1	25	11923.0	4591.1
ADHB	1	26	11922.3	4596.9
ADHB	1	27	11922.2	4597.4
ADHB	1	28	11865.1	5054.4
ADHB	1	29	11849.2	5181.3
ADHB	1	30	11846.0	5207.2
ADHB	1	31	11735.6	6090.6
ADHB	1	32	11704.5	6339.0
ADHB	1	33	11552.1	7558.1
ADHB	1	34	11484.9	8095.5
BOPDHB	1	1	6747.0	0.0
BOPDHB	1	2	6717.3	237.9
BOPDHB	1	3	6714.3	261.6
BOPDHB	1	4	6708.5	308.4
BOPDHB	1	5	6708.3	310.0
BOPDHB	1	6	6703.6	346.9
BOPDHB	1	7	6703.2	350.4
BOPDHB	1	8	6695.6	411.1
BOPDHB	1	9	6685.9	488.6
BOPDHB	1	10	6670.4	612.7
BOPDHB	1	11	6660.6	691.1
BOPDHB	1	12	6660.0	696.2
BOPDHB	1	13	6634.3	901.3
BOPDHB	1	14	6612.6	1075.2
BOPDHB	1	15	6586.0	1288.0
BOPDHB	1	16	6582.9	1312.5
BOPDHB	1	17	6524.4	1780.5
BOPDHB	1	18	6511.6	1883.5
BOPDHB	1	19	6504.7	1938.1
BOPDHB	1	20	6418.6	2627.1
BOPDHB	1	21	6376.2	2966.1
BOPDHB	1	22	6348.6	3186.9
BOPDHB	1	23	6327.8	3353.6
BOPDHB	1	24	6312.4	3476.9
BOPDHB	1	25	6301.5	3564.3
BOPDHB	1	26	6293.7	3626.1
BOPDHB	1	27	6288.3	3669.5
BOPDHB	1	28	6284.5	3699.9
CCDHB	1	1	10098.4	0.0
CCDHB	1	2	10048.0	403.1
CCDHB	1	3	10040.1	466.2
CCDHB	1	4	10027.6	566.4
CCDHB	1	5	10016.7	653.5
CCDHB	1	6	9998.6	798.3
CCDHB	1	7	9975.6	982.1
CCDHB	1	8	9969.6	1030.0
CCDHB	1	9	9938.5	1278.6
CCDHB	1	10	9891.5	1654.6
CCDHB	1	11	9834.4	2112.1
CCDHB	1	12	9824.5	2190.6
CCDHB	1	13	9784.2	2513.6
CCDHB	1	14	9675.3	3384.4
CCDHB	1	15	9653.5	3558.6
CCDHB	1	16	9554.2	4353.1
CCDHB	1	17	9523.6	4597.9
CCDHB	1	18	9436.7	5293.6
CCDHB	1	19	9334.8	6108.3
CCDHB	1	20	9279.3	6552.9
CCDHB	1	21	9244.4	6831.9
CCDHB	1	22	9220.7	7021.1
CCDHB	1	23	9204.8	7148.6
CCDHB	1	24	9194.1	7233.8
CDHB	1	1	14952.1	0.0
CDHB	1	2	14934.7	139.8
CDHB	1	3	14924.4	221.5
CDHB	1	4	14923.8	226.6
CDHB	1	5	14908.7	347.5
CDHB	1	6	14898.5	429.0
CDHB	1	7	14883.5	548.7
CDHB	1	8	14868.8	666.4
CDHB	1	9	14851.5	805.4
